iter	Passed	Remaining
534	5028	4370
535	5038	4361
536	5071	4372
537	5084	4366
538	5096	4358
539	5112	4355
540	5125	4348
541	5137	4341
542	5154	4337
543	5167	4331
544	5176	4321
545	5193	4317
546	5205	4310
547	5216	4302
548	5226	4293
549	5271	4312
550	5284	4306
551	5290	4294
552	5307	4289
553	5324	4286
554	5344	4285
555	5355	4277
556	5365	4267
557	5373	4256
558	5387	4250
559	5397	4240
560	5411	4234
561	5419	4223
562	5427	4212
563	5439	4204
564	5449	4195
565	5457	4184
566	5466	4174
567	5474	4163
568	5486	4156
569	5496	4146
570	5513	4142
571	5518	4129
572	5539	4127
573	5547	4117
574	5559	4108
575	5571	4101
576	5579	4090
577	5591	4082
578	5598	4070
579	5608	4061
580	5619	4052
581	5627	4041
582	5642	4036
583	5671	4040
584	5691	4037
585	5703	4029
586	5715	4021
587	5720	4008
588	5725	3995
589	5731	3982
590	5734	3968
591	5738	3955
592	5741	3940
593	5745	3926
594	5748	3912
595	5751	3898
596	5754	3884
597	5757	3870
598	5760	3856
599	5763	3842
600	5768	3829
601	5781	3822
602	5800	3818
603	5818	3815
604	5838	3811
605	5853	3805
606	5883	3809
607	5904	3806
608	5922	3802
609	5936	3795
610	5950	3788
611	5963	3780
612	5992	3783
613	6002	3773
614	6015	3765
615	6034	3761
616	6045	3752
617	6057	3744
618	6065	3733
619	6075	3723
620	6085	3713
621	6095	3704
622	6110	3697
623	6123	3689
624	6143	3685
625	6160	3680
626	6171	3671
627	6187	3665
628	6198	3656
629	6209	3646
630	6235	3646
631	6249	3638
632	6257	3627
633	6268	3618
634	6275	3606
635	6288	3599
636	6293	3586
637	6301	3575
638	6310	3565
639	6318	3554
640	6327	3543
641	6339	3535
642	6349	3525
643	6362	3517
644	6373	3507
645	6384	3498
646	6402	3492
647	6424	3489
648	6443	3485
649	6454	3475
650	6462	3464
651	6471	3454
652	6480	3443
653	6489	3433
654	6499	3423
655	6509	3413
656	6520	3404
657	6528	3393
658	6544	3386
659	6553	3375
660	6564	3366
661	6577	3358
662	6592	3351
663	6621	3350
664	6643	3346
665	6655	3337
666	6675	3332
667	6687	3323
668	6701	3315
669	6721	3310
670	6735	3302
671	6750	3294
672	6767	3288
673	6781	3280
674	6801	3274
675	6814	3266
676	6841	3263
677	6851	3253
678	6861	3243
679	6873	3234
680	6880	3223
681	6892	3213
682	6901	3203
683	6910	3192
684	6924	3184
685	6933	3173
686	6943	3163
687	6958	3155
688	6975	3148
689	6984	3138
690	6992	3126
691	7002	3116
692	7009	3105
693	7018	3094
694	7025	3082
695	7033	3072
696	7048	3063
697	7059	3054
698	7066	3042
699	7073	3031
700	7081	3020
701	7087	3008
702	7096	2998
703	7102	2986
704	7115	2977
705	7124	2966
706	7135	2957
707	7147	2947
708	7156	2937
709	7166	2927
710	7178	2917
711	7194	2910
712	7205	2900
713	7221	2892
714	7233	2883
715	7249	2875
716	7260	2865
717	7267	2854
718	7276	2843
719	7282	2832
720	7293	2822
721	7311	2815
722	7328	2807
723	7337	2797
724	7347	2786
725	7367	2780
726	7382	2772
727	7394	2762
728	7410	2754
729	7431	2748
730	7445	2739
731	7459	2730
732	7473	2722
733	7493	2715
734	7506	2706
735	7520	2697
736	7531	2687
737	7546	2678
738	7561	2670
739	7587	2665
740	7632	2667
741	7652	2660
742	7667	2652
743	7679	2642
744	7693	2633
745	7702	2622
746	7714	2612
747	7732	2605
748	7747	2596
749	7761	2587
750	7801	2586
751	7815	2577
752	7827	2567
753	7856	2563
754	7868	2553
755	7878	2542
756	7893	2533
757	7906	2524
758	7934	2519
759	7965	2515
760	7995	2510
761	8038	2510
762	8064	2505
763	8088	2498
764	8095	2486
765	8099	2474
766	8104	2462
767	8110	2450
768	8116	2438
769	8135	2430
770	8164	2424
771	8189	2418
772	8213	2411
773	8239	2405
774	8248	2394
775	8266	2386
776	8292	2379
777	8327	2376
778	8353	2369
779	8387	2365
780	8403	2356
781	8417	2346
782	8436	2338
783	8462	2331
784	8473	2320
785	8486	2310
786	8503	2301
787	8514	2290
788	8522	2279
789	8534	2268
790	8552	2259
791	8570	2250
792	8601	2245
793	8634	2240
794	8657	2232
795	8672	2222
796	8695	2214
797	8712	2205
798	8729	2196
799	8749	2187
800	8766	2177
801	8819	2177
802	8844	2169
803	8862	2160
804	8882	2151
805	8896	2141
806	8909	2130
807	8923	2120
808	8944	2111
809	8964	2102
810	8991	2095
811	9025	2089
812	9040	2079
813	9052	2068
814	9069	2058
815	9087	2049
816	9101	2038
817	9117	2028
818	9136	2019
819	9146	2007
820	9157	1996
821	9179	1987
822	9194	1977
823	9208	1966
824	9220	1955
825	9230	1944
826	9240	1932
827	9251	1921
828	9262	1910
829	9283	1901
830	9298	1890
831	9309	1879
832	9325	1869
833	9340	1859
834	9352	1848
835	9366	1837
836	9378	1826
837	9386	1814
838	9389	1801
839	9395	1789
840	9398	1776
841	9401	1764
842	9406	1751
843	9411	1739
844	9428	1729
845	9454	1721
846	9469	1710
847	9484	1700
848	9496	1689
849	9526	1681
850	9540	1670
851	9550	1658
852	9565	1648
853	9581	1638
854	9593	1627
855	9605	1615
856	9616	1604
857	9627	1593
858	9638	1582
859	9655	1571
860	9668	1560
861	9680	1549
862	9694	1539
863	9737	1532
864	9813	1531
865	9853	1524
866	9891	1517
867	9902	1505
868	9911	1494
869	9922	1482
870	9932	1471
871	9950	1460
872	9967	1450
873	10002	1441
874	10019	1431
875	10042	1421
876	10058	1410
877	10090	1402
878	10106	1391
879	10129	1381
880	10172	1374
881	10190	1363
882	10203	1351
883	10215	1340
884	10245	1331
885	10255	1319
886	10266	1307
887	10278	1296
888	10293	1285
889	10296	1272
890	10299	1260
891	10304	1247
892	10309	1235
893	10312	1222
894	10317	1210
895	10322	1198
896	10339	1187
897	10354	1176
898	10363	1164
899	10378	1153
900	10396	1142
901	10408	1130
902	10417	1119
903	10428	1107
904	10439	1095
905	10448	1084
906	10457	1072
907	10467	1060
908	10477	1048
909	10494	1037
910	10507	1026
911	10517	1014
912	10533	1003
913	10556	993
914	10572	982
915	10584	970
916	10596	959
917	10609	947
918	10621	936
919	10632	924
920	10643	912
921	10658	901
922	10671	890
923	10681	878
924	10690	866
925	10713	856
926	10723	844
927	10738	833
928	10763	822
929	10775	811
930	10788	799
931	10808	788
932	10821	777
933	10832	765
934	10844	753
935	10859	742
936	10873	731
937	10888	719
938	10910	708
939	10922	697
940	10951	686
941	10971	675
942	10992	664
943	11006	652
944	11025	641
945	11040	630
946	11056	618
947	11064	606
948	11075	595
949	11091	583
950	11107	572
951	11123	560
952	11141	549
953	11155	537
954	11165	526
955	11176	514
956	11186	502
957	11198	490
958	11206	479
959	11219	467
960	11231	455
961	11244	444
962	11252	432
963	11268	420
964	11287	409
965	11308	398
966	11368	387
967	11388	376
968	11402	364
969	11419	353
970	11437	341
971	11458	330
972	11477	318
973	11494	306
974	11509	295
975	11528	283
976	11547	271
977	11561	260
978	11575	248
979	11589	236
980	11601	224
981	11617	212
982	11630	201
983	11641	189
984	11651	177
985	11666	165
986	11677	153
987	11690	141
988	11699	130
989	11711	118
