iter	Passed	Remaining
897	2568	291
898	2571	288
899	2575	286
900	2578	283
901	2580	280
902	2583	277
903	2585	274
904	2587	271
905	2589	268
906	2592	265
907	2594	262
908	2597	260
909	2601	257
910	2606	254
911	2609	251
912	2612	248
913	2616	246
914	2621	243
915	2624	240
916	2628	237
917	2633	235
918	2636	232
919	2640	229
920	2644	226
921	2647	223
922	2649	221
923	2653	218
924	2657	215
925	2660	212
926	2663	209
927	2667	206
928	2671	204
929	2674	201
930	2677	198
931	2680	195
932	2683	192
933	2686	189
934	2690	187
935	2693	184
936	2696	181
937	2699	178
938	2703	175
939	2706	172
940	2708	169
941	2711	166
942	2713	164
943	2716	161
944	2719	158
945	2722	155
946	2726	152
947	2730	149
948	2734	146
949	2737	144
950	2740	141
951	2743	138
952	2746	135
953	2749	132
954	2752	129
955	2756	126
956	2760	124
957	2762	121
958	2765	118
959	2768	115
960	2770	112
961	2773	109
962	2776	106
963	2778	103
964	2781	100
965	2783	97
966	2786	95
967	2789	92
968	2792	89
969	2795	86
970	2798	83
971	2801	80
972	2803	77
973	2807	74
974	2809	72
975	2811	69
976	2813	66
977	2817	63
978	2820	60
979	2823	57
980	2826	54
981	2828	51
982	2832	48
983	2835	46
984	2838	43
985	2841	40
986	2845	37
987	2849	34
988	2853	31
989	2855	28
990	2857	25
991	2859	23
992	2862	20
993	2865	17
994	2870	14
995	2872	11
996	2875	8
997	2878	5
998	2882	2
999	2885	0
